"Date","Price","Open","High","Low","Change %"
"01/10/2024","4.517","3.980","4.521","3.933","13.98%"
"01/09/2024","3.963","3.990","4.068","3.769","-0.25%"
"01/08/2024","3.973","4.047","4.121","3.836","-3.47%"
"01/07/2024","4.116","4.409","4.508","4.108","-5.40%"
"01/06/2024","4.351","4.401","4.463","4.092","-1.09%"
"01/05/2024","4.399","4.478","4.550","4.170","-0.38%"
"01/04/2024","4.416","3.996","4.553","3.921","10.37%"
"01/03/2024","4.001","4.143","4.191","3.961","-3.59%"
"01/02/2024","4.150","4.006","4.311","3.944","1.87%"
"01/01/2024","4.074","3.955","4.331","3.955","2.70%"
"01/12/2023","3.967","4.510","4.510","3.890","-9.06%"
"01/11/2023","4.362","4.979","4.999","4.332","-11.31%"
"01/10/2023","4.918","4.467","4.978","4.351","8.97%"
"01/09/2023","4.513","4.002","4.523","3.977","11.76%"
"01/08/2023","4.038","4.009","4.327","3.973","0.15%"
"01/07/2023","4.032","4.019","4.315","3.885","0.75%"
"01/06/2023","4.002","3.597","4.085","3.568","10.25%"
"01/05/2023","3.630","3.253","3.778","3.253","6.83%"
"01/04/2023","3.398","3.294","3.538","3.173","2.07%"
"01/03/2023","3.329","3.883","3.937","3.155","-13.42%"
"01/02/2023","3.845","3.550","3.952","3.382","8.95%"
"01/01/2023","3.529","4.056","4.068","3.346","-12.52%"
"01/12/2022","4.034","3.511","4.098","3.289","13.12%"
"01/11/2022","3.566","3.825","4.063","3.516","-5.21%"
"01/10/2022","3.762","3.911","4.234","3.640","-5.36%"
"01/09/2022","3.975","3.657","4.153","3.533","9.66%"
"01/08/2022","3.625","3.043","3.734","3.009","17.62%"
"01/07/2022","3.082","3.597","3.672","3.074","-16.57%"
"01/06/2022","3.694","3.355","4.194","3.318","10.14%"
"01/05/2022","3.354","3.242","3.603","3.191","5.57%"
"01/04/2022","3.177","2.800","3.179","2.756","14.69%"
"01/03/2022","2.770","2.129","2.894","2.056","27.18%"
"01/02/2022","2.178","1.907","2.301","1.844","13.91%"
"01/01/2022","1.912","1.651","2.051","1.643","14.08%"
"01/12/2021","1.676","1.698","1.749","1.518","-4.23%"
"01/11/2021","1.750","1.945","2.003","1.637","-12.28%"
"01/10/2021","1.995","1.465","1.997","1.465","34.71%"
"01/09/2021","1.481","1.201","1.510","1.192","28.23%"
"01/08/2021","1.155","1.182","1.244","1.053","-2.86%"
"01/07/2021","1.189","1.491","1.496","1.131","-21.05%"
"01/06/2021","1.506","1.640","1.668","1.418","-8.17%"
"01/05/2021","1.640","1.693","1.767","1.579","-3.36%"
"01/04/2021","1.697","1.812","1.826","1.640","-7.27%"
"01/03/2021","1.830","1.682","1.873","1.628","4.15%"
"01/02/2021","1.757","1.130","1.973","1.100","60.90%"
"01/01/2021","1.092","0.973","1.118","0.943","11.66%"
"01/12/2020","0.978","0.914","1.082","0.909","8.79%"
"01/11/2020","0.899","0.843","1.006","0.739","8.84%"
"01/10/2020","0.826","0.878","0.930","0.726","-3.39%"
"01/09/2020","0.855","0.989","1.025","0.824","-13.29%"
"01/08/2020","0.986","0.829","1.034","0.794","17.94%"
"01/07/2020","0.836","0.909","0.960","0.803","-5.86%"
"01/06/2020","0.888","0.896","1.128","0.848","-0.45%"
"01/05/2020","0.892","0.928","1.022","0.822","-3.57%"
"01/04/2020","0.925","0.780","1.033","0.679","11.85%"
"01/03/2020","0.827","0.687","1.539","0.555","-2.48%"
"01/02/2020","0.848","0.933","1.127","0.838","-11.48%"
"01/01/2020","0.958","1.385","1.420","0.947","-30.23%"
"01/12/2019","1.373","1.039","1.388","1.029","34.08%"
"01/11/2019","1.024","1.121","1.343","0.996","-10.49%"
"01/10/2019","1.144","1.012","1.191","0.864","17.94%"
"01/09/2019","0.970","0.897","1.193","0.878","8.74%"
"01/08/2019","0.892","1.180","1.212","0.850","-25.85%"
"01/07/2019","1.203","1.350","1.486","1.176","-8.79%"
